,TEI,TEO,TCI,TCO,Heat,FWC,FWE
99,53.8,49.9,64.53,68.25,23.58,269.4,215.8
100,57.32,50.39,67.56,74.11,36.71,266.4,215.5
101,47.29,40.44,65.76,72.31,41.782,267.9,214.4
102,49.87,40.28,79.96,89.13,58.27,267.8,214.5
103,47.5,41.3,59.57,65.22,26.68,267.8,214.7
104,47.33,41.01,81.19,87.37,45.3,270.7,215.8
105,45.57,41.54,81.52,85.82,42.961,270.2,215.5
106,50.61,42.4,66.17,73.58,30.56,266.8,215.5
107,56.26,51.86,85.7,90.16,37.857,271.0,216.2
108,55.64,44.98,70.26,80.29,54.81,266.4,215.5
109,45.98,39.01,71.78,78.69,52.9471,270.4,216.3
110,52.7,49.94,74.72,77.87,35.3497,265.1,215.4
111,61.66,51.7,85.7,95.11,53.45,267.1,215.8
112,48.48,45.31,84.59,87.99,34.579,270.0,215.1
113,55.64,45.23,70.1,79.84,50.79,265.8,215.3
114,54.83,50.8,83.73,87.95,38.51,268.9,216.1
115,48.15,44.94,76.69,80.17,35.25,267.9,215.5
116,61.17,50.22,75.42,85.82,57.57,265.3,216.1
117,56.79,50.51,85.12,91.1,37.84,268.2,214.1
118,56.26,50.02,66.25,72.06,29.48,268.1,217.6
119,53.88,50.06,64.61,68.33,25.723,269.3,216.4
120,43.81,40.32,80.09,83.81,38.035,270.8,214.2
121,53.72,49.82,64.53,68.21,21.22,268.0,215.7
122,48.52,45.43,75.09,78.37,32.282,269.9,215.0
123,51.96,43.1,80.09,88.11,34.19,267.8,216.2
124,54.42,50.31,84.35,88.48,34.29,271.1,215.8
125,56.55,47.32,85.33,94.05,49.8,267.4,215.8
126,48.11,44.86,64.69,67.88,24.232,270.3,214.6
127,49.01,45.39,85.78,89.38,29.07,271.9,215.8
128,53.72,50.39,85.0,88.27,23.74,268.1,214.8
129,50.65,44.66,75.01,80.74,38.2,270.2,214.8
130,51.3,45.23,85.29,91.14,40.35,269.9,214.8
131,54.17,50.43,64.61,68.29,26.487,269.1,216.7
132,46.88,40.03,64.9,71.45,42.355,269.2,215.1
133,45.82,39.13,71.2,77.63,41.9,268.5,215.2
134,56.46,50.43,74.85,80.62,34.17,265.7,215.5
135,55.93,45.27,70.38,80.41,50.12,263.2,215.5
136,59.86,50.39,85.33,94.33,52.5,267.2,216.2
137,64.0,54.07,85.82,94.83,40.47,267.1,214.6
138,56.55,50.14,75.58,81.68,34.88,266.0,216.2
139,56.14,49.9,65.84,71.61,30.02,268.0,215.1
140,44.47,40.56,81.27,85.49,44.127,270.6,215.0
141,50.65,44.66,74.97,80.74,38.49,268.7,214.9
142,53.11,50.39,75.3,78.12,24.48,267.3,216.2
143,54.5,50.63,85.16,88.97,27.63,268.8,216.0
144,55.64,45.19,70.06,79.84,53.47,266.8,214.7
146,55.97,45.11,75.26,85.53,61.94,267.0,213.6
147,53.68,50.18,62.56,65.88,20.48,269.5,215.5
149,51.02,44.29,64.49,70.71,35.14,270.1,214.1
150,59.0,49.94,70.67,79.18,41.84,264.4,216.9
151,46.02,39.82,62.36,68.42,43.4364,268.8,214.9
152,43.65,39.99,66.13,69.85,30.796,267.7,215.0
153,55.93,49.82,65.35,70.91,23.96,266.8,216.2
154,51.3,44.12,65.72,72.47,39.215,268.7,215.5
155,60.11,50.63,85.41,94.46,53.33,266.7,216.3
156,50.85,45.07,66.17,71.57,30.61,269.7,215.7
157,53.76,49.82,64.53,68.21,20.06,268.7,216.1
158,46.39,40.07,80.17,86.31,42.69,268.9,215.1
159,43.24,39.95,62.19,65.55,29.156,270.8,215.7
160,55.15,45.97,85.33,94.09,53.65,268.2,215.9
161,55.6,45.19,70.02,79.72,48.85,265.1,215.0
162,54.7,51.49,64.61,68.21,41.166,269.3,214.6
163,56.79,50.63,85.12,90.98,36.6,268.5,214.7
164,59.41,49.86,71.53,80.41,44.3,266.8,216.4
165,62.44,53.09,75.34,83.98,38.31,266.5,218.2
166,56.91,50.63,85.33,91.35,35.95,268.0,217.7
167,43.57,40.03,80.78,84.55,38.06,271.6,215.7
168,53.6,50.14,62.56,65.88,22.18,268.3,213.6
170,48.36,45.07,65.06,68.33,26.193,270.9,215.2
171,43.65,39.95,70.79,74.68,38.335,270.7,213.7
172,43.65,40.03,65.02,68.74,32.985,269.0,214.6
173,50.89,45.15,66.13,71.49,29.77,270.4,216.9
174,49.01,45.48,85.7,89.38,35.14,270.6,214.1
175,60.48,50.31,85.62,95.28,54.94,265.6,215.4
176,53.76,49.9,64.53,68.25,24.01,268.6,216.5
177,53.6,50.27,62.44,65.59,19.16,268.9,215.1
178,51.34,44.45,65.02,71.32,30.43,269.0,215.9
179,60.56,50.35,85.66,95.36,56.28,265.4,214.6
180,56.87,45.97,76.16,86.51,61.99,267.4,215.1
181,47.58,40.44,66.25,73.13,44.704,267.9,215.3
182,48.48,44.86,85.45,89.13,31.17,270.4,216.4
183,55.52,44.86,70.22,80.25,54.01,265.8,215.5
184,46.43,39.78,71.12,77.38,38.07,270.9,216.1
185,56.63,47.65,85.0,93.35,42.33,266.7,215.8
186,56.91,50.63,85.33,91.35,37.24,268.3,216.6
187,51.75,42.81,80.5,88.77,44.93,270.3,215.7
188,43.12,39.78,71.16,74.6,31.388,271.0,215.3
189,50.24,46.09,86.39,90.65,37.52,271.2,216.5
190,43.52,40.52,68.42,71.53,28.581,269.5,214.0
191,50.36,40.93,75.42,83.73,30.48,268.5,214.5
192,48.07,45.15,75.58,78.65,27.752,268.3,217.0
193,43.32,39.87,71.57,75.21,35.07,270.1,215.5
194,43.77,39.99,66.33,70.26,35.735,270.0,216.0
195,45.57,39.21,69.32,75.46,43.111,270.7,215.0
196,48.27,45.31,75.46,78.53,26.84,267.6,215.3
197,54.7,50.63,65.51,69.4,26.04,270.0,214.3
198,57.57,48.63,85.7,94.13,50.53,269.8,215.9
199,49.54,45.19,65.39,69.44,23.56,270.0,214.3
200,55.6,45.23,70.02,79.72,50.52,265.2,214.8
201,50.32,44.25,75.22,81.11,40.54,268.0,214.5
202,49.01,45.68,84.1,87.58,33.22,270.5,214.4
203,55.48,44.82,70.26,80.25,52.97,265.8,215.1
204,50.73,44.25,75.71,82.17,51.134,269.3,214.8
205,55.52,44.86,70.26,80.25,54.36,267.2,215.6
206,51.26,44.37,64.94,71.28,34.02,269.6,214.4
207,46.88,39.91,65.18,71.81,38.648,267.6,216.6
208,49.46,44.57,66.78,71.41,30.0,271.7,215.2
209,51.34,44.45,64.98,71.32,33.46,270.0,215.4
210,49.91,41.99,65.22,72.39,34.02,270.2,215.2
211,52.0,40.73,70.71,81.35,57.19,265.4,215.9
212,50.53,41.22,80.87,89.67,50.75,267.3,215.5
213,60.31,50.31,85.37,94.78,49.28,264.5,215.3
214,51.71,43.06,76.69,84.3,27.31,270.4,216.3
215,53.68,50.39,85.21,88.48,24.85,268.8,215.9
216,63.55,52.85,75.99,86.06,54.93,265.1,214.5
217,44.83,41.05,67.27,71.28,38.3373,267.4,214.4
218,46.35,40.19,80.09,86.19,46.884,269.6,215.1
219,55.89,45.84,70.3,79.55,47.22,269.4,216.0
220,44.51,40.36,78.29,82.67,44.229,271.5,213.8
221,60.6,50.39,85.66,95.36,54.05,266.6,217.2
222,49.91,41.09,72.47,80.21,26.18,267.3,214.2
223,49.09,45.56,85.33,89.01,33.79,269.3,215.3
224,61.91,50.63,75.95,86.68,52.83,263.1,218.3
225,47.25,40.4,65.76,72.31,41.861,268.6,215.0
226,47.82,44.9,75.01,78.08,29.959,271.4,215.1
227,52.7,50.02,75.17,77.96,25.04,267.5,214.3
228,50.2,40.28,66.58,75.91,50.72,266.1,215.4
229,56.3,45.27,75.95,86.47,60.54,265.7,216.0
230,65.31,64.92,64.81,65.51,15.3,269.5,215.8
231,56.83,50.47,75.75,81.76,34.34,268.1,216.7
232,49.13,46.25,75.91,79.06,33.887,270.4,215.4
233,56.55,46.5,75.5,85.16,60.35,268.3,217.0
234,51.92,41.22,70.96,80.78,56.88,272.9,214.3
235,56.34,45.39,75.34,85.7,62.98,267.7,214.0
236,44.02,40.4,80.21,84.06,37.068,269.1,216.2
237,51.3,45.27,85.33,91.22,41.58,269.5,216.3
238,53.68,46.7,82.5,89.09,40.59,270.6,215.9
239,49.87,40.23,79.96,89.13,55.05,267.5,215.6
240,52.94,50.22,75.13,77.92,23.1,266.3,214.7
241,50.94,40.6,67.68,77.26,48.85,269.3,217.3
242,47.33,40.23,66.25,73.0,43.855,270.0,214.7
243,51.51,40.36,70.67,81.35,62.11,266.0,216.8
244,53.84,50.47,85.25,88.52,22.29,269.5,216.5
245,49.67,40.32,79.27,88.03,51.37,267.5,213.1
246,48.64,45.35,64.86,68.09,23.67,269.4,215.5
247,60.6,50.39,85.62,95.32,53.6,265.9,216.8
248,43.16,40.4,60.64,63.63,30.9292,270.0,215.9
249,51.06,45.31,82.05,87.66,39.37,269.2,215.9
250,50.85,44.12,64.9,71.45,44.8171,268.0,215.3
251,47.25,40.32,65.31,72.02,47.037,268.7,213.8
252,48.36,44.74,66.29,69.81,24.95,271.5,217.0
253,55.6,45.15,70.06,79.8,52.62,267.7,215.1
254,49.01,41.01,74.52,82.05,48.85,272.9,215.3
255,45.69,39.33,69.32,75.46,41.557,269.5,215.5
256,50.44,45.15,65.06,69.97,26.33,268.6,215.1
257,56.34,49.94,75.54,81.6,32.3,264.9,216.3
258,51.26,45.02,85.78,91.84,40.88,268.8,216.3
259,50.32,43.88,66.29,72.43,45.2428,275.4,214.5
260,56.79,47.19,70.67,79.68,49.5,267.5,215.9
261,56.14,49.9,65.84,71.57,26.36,268.8,218.0
262,48.03,45.35,74.64,77.47,27.138,270.1,215.8
263,52.7,49.73,76.2,79.27,26.818,268.1,215.9
264,55.77,46.74,86.39,94.66,38.99,266.9,215.1
265,46.84,39.78,83.12,90.16,52.2,267.0,215.9
266,64.12,53.95,85.37,94.09,17.04,265.4,216.1
267,56.71,47.81,85.41,93.84,47.33,267.0,216.7
268,56.83,51.0,73.9,79.39,29.99,266.5,215.7
269,66.29,61.36,71.82,75.83,4.08,273.0,216.5
270,45.86,40.11,61.13,66.49,29.76,268.1,214.8
271,53.11,50.39,75.42,78.2,22.78,267.2,216.3
272,46.27,40.07,79.96,86.06,45.42,269.1,214.8
273,56.26,45.15,75.91,86.47,61.74,265.2,214.1
274,53.97,50.76,85.12,88.4,28.16,269.3,214.9
275,61.34,50.31,75.83,86.27,57.93,265.3,215.2
276,55.97,45.11,75.26,85.53,58.42,266.3,215.1
277,43.4,40.03,70.02,73.58,35.947,271.1,213.5
278,55.11,45.97,85.25,94.01,55.05,268.5,216.1
279,51.22,45.19,85.33,91.22,41.65,268.3,215.0
280,52.0,45.88,85.37,91.35,41.71,268.4,215.7
281,51.92,43.18,78.04,85.74,28.28,269.5,215.3
282,54.13,46.38,70.96,78.49,49.662,267.4,216.0
283,46.35,40.07,80.17,86.35,45.43,268.7,215.1
284,48.97,45.39,85.21,88.89,34.41,270.6,212.9
285,55.07,45.68,71.0,79.76,44.93,267.4,216.8
286,61.25,50.06,75.83,86.51,59.55,264.9,216.6
287,60.8,50.02,75.83,86.27,57.8,260.5,215.6
288,49.01,40.93,64.49,72.14,47.2,269.0,214.9
289,56.26,45.23,75.91,86.47,65.52,267.4,215.5
290,59.41,49.86,71.53,80.37,45.09,268.4,216.2
291,48.81,45.35,85.16,88.6,26.39,268.8,215.3
292,59.49,50.63,70.3,78.61,42.59,265.6,216.4
293,51.67,44.45,87.62,94.78,51.75,266.3,215.3
294,45.65,39.05,69.65,75.95,40.0,268.0,214.4
295,51.55,45.35,85.7,91.84,47.26,268.7,214.2
296,53.43,50.68,74.81,77.71,26.078,266.7,216.3
297,48.32,45.48,75.62,78.69,31.464,269.4,215.5
298,56.83,50.55,85.16,91.14,37.82,268.3,214.3
299,57.24,50.88,85.29,91.26,35.24,269.1,215.0
300,55.97,49.86,65.27,70.87,27.22,268.0,215.4
301,46.35,40.44,80.09,85.9,40.42,267.7,216.6
302,57.08,50.8,85.53,91.51,35.45,268.4,216.9
303,43.57,39.99,80.78,84.59,38.478,271.5,215.4
304,55.93,45.07,75.22,85.53,60.33,267.1,215.7
305,43.77,39.91,66.45,70.46,36.0648,267.0,213.5
306,56.79,50.63,85.12,90.98,35.27,267.8,215.5
307,45.53,39.13,69.24,75.38,42.075,270.3,214.4
308,45.9,39.21,71.2,77.63,38.89,267.6,217.4
309,43.57,39.87,81.44,85.57,47.093,270.8,215.7
310,56.95,50.68,85.33,91.3,37.97,269.9,215.5
311,53.64,50.35,84.92,88.23,26.56,269.2,216.1
312,43.12,40.19,61.54,64.61,29.529,270.3,214.9
313,49.42,45.11,65.51,69.6,25.89,270.2,215.4
314,49.99,40.36,80.09,89.26,58.21,268.3,214.1
315,61.58,51.58,85.66,95.11,52.41,267.6,217.2
316,49.79,44.7,65.18,70.01,29.719,270.3,216.6
317,56.75,50.27,85.66,91.8,35.92,268.3,216.3
318,55.6,44.9,70.26,80.25,50.94,265.5,215.3
319,49.58,45.6,83.98,88.19,40.015,269.4,216.3
320,43.97,40.28,73.17,76.97,33.496,269.3,215.2
321,56.05,45.68,75.67,85.53,53.83,266.0,217.5
322,43.32,39.99,71.16,74.64,32.873,270.7,215.3
323,65.59,57.02,81.77,88.73,3.43,268.2,215.0
324,51.3,44.37,64.98,71.28,30.47,269.8,215.3
325,50.77,44.08,76.53,83.2,52.229,269.8,215.8
326,47.09,39.87,66.25,73.13,42.978,269.3,215.9
327,43.52,40.52,68.25,71.36,29.131,271.7,215.1
328,58.55,51.13,87.09,94.17,44.59,269.0,215.5
329,48.93,45.6,65.8,68.99,20.45,269.0,215.8
330,48.89,39.7,63.71,72.27,45.71,268.1,215.7
331,56.01,49.94,65.31,71.0,31.81,267.8,215.1
332,46.02,39.99,80.13,86.1,44.05,268.1,215.7
333,60.6,50.31,75.91,85.57,51.3,266.1,215.8
334,51.3,44.45,64.98,71.32,33.52,269.5,216.1
335,55.64,45.23,70.06,79.76,49.95,266.8,215.8
336,60.6,50.43,85.62,95.32,54.55,264.4,215.6
337,54.46,50.92,78.0,81.56,26.43,266.2,217.0
338,56.18,45.88,70.55,80.17,51.28,267.4,215.9
339,56.95,50.72,75.42,81.35,35.58,267.2,215.3
340,61.09,50.1,75.42,85.74,55.13,265.2,214.7
341,47.46,40.48,65.84,72.43,38.71,267.3,214.7
342,50.57,44.62,74.85,80.54,36.12,269.0,215.7
343,56.01,49.94,65.35,70.87,24.44,267.9,216.2
344,56.3,45.68,71.16,81.11,53.99,268.8,217.1
345,53.11,50.43,75.42,78.2,24.49,267.1,215.2
346,52.29,46.01,86.15,92.21,39.79,268.4,215.6
347,49.71,41.63,64.73,72.02,30.44,267.7,215.7
348,45.65,39.25,69.44,75.58,42.093,269.9,213.9
349,60.48,50.43,85.45,94.99,51.1,263.2,215.2
350,53.06,50.39,75.42,78.2,24.38,267.0,215.4
351,59.04,49.86,70.55,79.1,41.9,264.8,215.4
352,54.01,52.07,64.45,66.41,16.87,272.3,216.3
353,56.38,45.72,71.24,81.31,57.59,268.1,216.4
354,53.92,50.06,64.24,67.84,21.79,272.0,215.0
355,62.07,51.58,75.67,85.53,53.78,266.9,215.8
356,51.22,44.04,65.72,72.43,37.98,268.1,214.6
357,53.56,50.35,84.88,88.19,29.54,269.7,215.7
358,55.56,45.19,70.02,79.72,51.94,266.1,214.7
359,43.12,39.87,69.28,72.76,35.333,270.2,215.0
360,46.43,39.82,71.16,77.42,41.28,270.2,213.4
361,50.12,40.19,66.45,75.83,52.17,265.7,215.1
362,51.3,44.12,65.72,72.39,33.93,269.1,217.8
363,56.95,50.8,84.35,90.36,42.45,269.6,216.5
364,43.52,40.52,68.38,71.57,31.285,270.0,215.8
365,43.89,40.03,67.68,71.77,40.467,270.6,215.1
366,45.69,39.33,69.4,75.5,40.117,269.1,214.9
367,55.23,46.01,85.0,93.76,49.08,266.1,216.4
368,57.12,50.8,85.53,91.55,39.19,270.0,214.8
369,50.89,44.33,75.75,82.17,44.974,267.0,214.6
370,56.14,49.94,65.84,71.61,29.25,267.5,216.9
371,43.61,40.07,80.78,84.55,37.912,271.4,215.8
372,47.99,45.11,75.05,78.12,30.835,269.5,214.1
373,49.58,45.43,83.28,87.66,41.509,269.5,216.1
374,49.17,45.64,85.74,89.38,32.25,269.8,215.7
375,43.57,39.99,65.63,69.32,32.566,268.0,213.8
376,55.93,45.31,70.42,80.41,56.56,266.9,214.7
377,54.5,50.39,65.59,69.6,29.23,270.4,215.3
378,54.13,50.84,85.29,88.56,23.98,267.4,216.3
379,56.26,47.81,70.26,77.26,15.17,275.4,215.9
380,52.57,41.5,71.08,81.4,60.19,269.8,214.3
381,49.38,45.97,85.49,89.01,31.78,270.6,215.5
382,50.03,44.04,75.75,81.64,42.724,269.6,216.5
383,56.34,50.06,66.21,72.06,32.09,269.5,216.3
384,54.13,49.49,65.92,70.22,23.94,271.0,215.8
385,43.73,40.23,79.96,83.73,38.947,269.6,214.3
386,52.7,49.94,75.09,77.92,22.91,264.7,214.3
387,56.75,50.47,85.08,91.06,35.47,266.6,215.2
388,56.14,49.9,65.84,71.57,25.17,265.5,216.4
389,49.91,40.19,66.41,75.66,53.69,266.2,215.7
390,50.81,42.28,71.78,79.23,20.21,267.0,217.0
391,47.99,45.07,75.58,78.65,28.333,268.5,215.9
392,56.79,50.59,85.08,90.94,32.05,266.5,216.4
393,51.14,43.96,65.72,72.47,38.13,268.4,216.2
394,43.32,39.99,71.2,74.64,32.306,271.5,214.0
395,43.57,39.91,65.59,69.32,30.339,267.0,215.2
396,45.86,39.21,71.16,77.63,42.572,267.7,216.7
397,56.87,50.63,84.59,90.65,42.09,268.6,214.8
398,46.64,39.87,63.83,70.38,42.846,266.4,214.5
399,55.19,45.93,85.04,93.88,52.4,266.9,216.1
400,56.67,49.9,76.93,83.48,41.23,266.6,216.3
401,51.3,44.08,65.72,72.43,37.2,269.2,215.1
402,43.61,40.07,80.78,84.59,39.134,271.2,216.4
403,49.13,41.99,62.97,69.52,31.2,268.5,216.5
404,45.82,39.09,71.12,77.59,43.649,269.6,214.9
405,56.3,46.09,75.54,85.33,60.74,267.5,215.8
406,61.34,50.43,75.54,85.82,52.74,263.0,214.8
407,52.57,41.46,71.08,81.48,60.11,270.1,215.9
408,56.95,50.63,75.87,81.89,35.67,267.0,215.6
409,56.26,49.86,66.25,72.06,26.38,268.4,215.6
410,51.26,45.19,85.33,91.3,45.03,269.6,214.6
411,53.84,49.9,64.57,68.25,20.0,268.8,216.4
412,57.61,50.68,81.19,87.78,45.22,275.4,217.2
413,53.72,49.86,64.49,68.21,27.413,275.4,217.0
414,56.42,50.06,75.58,81.64,34.73,265.6,215.7
415,53.76,50.43,85.12,88.48,27.69,269.7,215.0
416,61.05,50.18,75.5,85.74,52.73,265.9,217.4
417,47.37,40.48,65.51,72.22,46.301,267.6,214.8
418,48.4,45.52,75.01,78.0,27.929,270.4,214.2
419,53.64,50.8,84.76,87.87,33.248,270.4,216.1
420,49.95,40.81,78.9,87.62,54.85,268.2,214.8
421,43.2,40.36,60.64,63.63,28.91,270.4,214.9
422,57.08,49.69,68.17,75.25,44.866,268.1,215.6
423,54.95,45.6,84.88,93.8,54.59,267.7,215.6
424,52.82,50.1,75.09,77.92,25.08,267.3,214.8
425,56.34,45.88,75.75,85.7,58.14,266.8,215.9
426,47.58,41.46,80.99,87.01,45.2,269.7,214.9
427,54.5,51.29,85.33,88.97,41.424,268.6,216.8
428,43.52,40.48,68.42,71.57,28.649,270.3,215.5
429,50.28,41.01,80.74,89.58,54.8,268.9,216.2
430,43.44,40.15,71.12,74.6,35.5,272.1,214.0
431,48.48,45.52,75.75,78.78,26.78,270.3,214.6
432,50.4,44.0,66.21,72.1,34.72,275.4,216.5
433,45.78,41.34,63.26,67.68,33.555,268.0,215.4
434,60.68,50.39,85.74,95.48,54.48,266.0,215.7
435,55.64,44.94,70.3,80.29,49.69,266.8,217.3
437,46.39,40.11,80.17,86.35,43.48,267.0,215.6
438,59.78,50.22,71.73,80.7,50.07,267.4,215.1
439,43.4,40.07,71.12,74.64,35.002,269.5,213.0
440,43.4,40.03,71.24,74.72,32.096,269.7,213.3
441,50.73,44.53,67.23,72.92,32.979,273.0,214.3
442,57.12,50.47,76.36,82.71,37.93,266.2,215.1
443,60.56,50.27,75.87,85.53,53.35,267.8,216.0
444,51.63,42.69,80.58,88.85,42.88,268.3,215.4
445,49.91,40.36,79.96,89.09,58.32,268.5,214.9
446,44.26,40.89,79.56,83.16,36.265,269.4,214.3
447,59.12,49.94,70.55,79.14,41.09,265.1,217.6
448,48.36,45.52,75.05,78.04,28.723,270.0,214.9
449,51.3,45.27,85.29,91.14,39.56,267.1,214.4
450,43.57,40.07,71.69,75.38,34.063,267.3,215.1
451,60.64,50.47,85.62,95.32,53.73,264.7,216.5
452,51.3,44.37,64.94,71.28,29.77,268.4,216.3
453,46.27,39.95,80.17,86.31,42.87,268.7,214.7
454,43.69,40.15,80.21,83.98,38.007,271.1,215.3
455,55.32,46.29,85.33,94.05,53.9,265.2,215.5
456,43.57,40.36,71.0,74.44,36.047,271.3,214.0
457,55.48,46.38,85.45,94.17,54.67,267.4,215.1
458,43.4,39.99,71.2,74.8,34.497,268.7,214.5
459,51.02,44.41,66.08,72.02,30.49,275.4,215.9
460,51.3,44.08,65.76,72.47,38.56,270.4,214.9
461,55.56,44.98,71.0,80.99,53.54,266.0,216.7
462,57.36,50.76,82.71,88.93,38.62,270.8,215.1
463,59.12,50.02,70.63,79.1,40.99,266.6,217.4
464,43.36,39.99,71.28,74.84,34.357,269.6,215.1
465,51.96,45.76,85.41,91.47,41.95,267.6,215.4
466,48.48,45.15,65.02,68.25,22.47,269.8,215.8
467,46.6,40.77,68.66,74.27,37.36,269.7,215.7
