TEI,TEO,TCI,TCO,Heat,FWC,FWE
56.38,50.35,74.89,80.62,33.75,267.8,216.2
54.33,50.22,65.43,69.36,24.4,268.5,216.1
51.02,44.41,66.13,72.02,28.18,275.4,216.5
56.91,50.47,75.54,81.68,34.28,265.4,216.6
50.85,41.67,80.74,89.46,51.8,267.3,215.3
56.95,50.63,75.87,81.89,36.35,266.7,214.6
50.28,44.7,66.21,71.49,31.73,269,215.6
56.14,45.35,75.13,85.37,61.57,268.4,215.8
48.15,44.86,64.98,68.25,26.199,271,215.2
50.81,40.64,67.39,76.85,52.41,268.8,214.8
45.9,40.11,61.13,66.49,29.79,269.6,214.6
59.37,49.86,71.53,80.45,47.01,267.3,217
43.4,40.44,68.58,71.65,27.82,269.8,215.4
48.36,44.94,65.96,69.32,25.477,270.4,214.9
51.59,44.78,66.21,72.39,32.68,274.1,216
50.03,44.12,75.91,81.89,48.145,267.9,215.3
52,46.13,74.68,80.25,33.46,269.1,216.3
43.93,40.36,80.09,83.89,38.12,270.1,214.7
46.88,39.87,64.04,70.79,44.278,267.5,214.4
54.95,49.57,67.27,72.14,22.06,270.2,216.7
50.36,45.15,74.15,79.02,28.1,270,215.4
43.97,40.4,80.09,83.85,36.513,269.9,214.4
55.36,46.25,85.37,94.05,52.18,267.5,215.8
49.09,45.76,84.63,88.07,31.23,269.1,213.7
56.18,49.69,66.33,72.43,35.931,270.8,216.9
50.94,43.06,68.75,75.79,29.11,268.6,214.9
45.9,40.19,61.09,66.49,33.093,268.1,214.2
43.61,40.11,80.78,84.63,43.106,271.3,214.5
60.68,50.27,75.91,85.65,50.21,268.2,218
50.77,44.62,76.2,82.09,39.72,270.5,215
59.29,50.1,70.79,79.35,43.94,267.2,216.2
48.4,41.01,67.19,74.31,46.018,267.7,215.6
48.68,45.48,64.86,68.05,24.415,269.1,215.8
62.03,52.15,85.7,94.99,46.78,266,217.8
52.9,44.7,72.55,80.37,54.355,274.5,216.4
61.09,49.9,75.79,86.43,56.21,264.1,216.9
54.78,46.74,69.56,77.3,50.323,268.2,215.4
53.8,49.9,64.53,68.25,23.58,269.4,215.8
57.32,50.39,67.56,74.11,36.71,266.4,215.5
47.29,40.44,65.76,72.31,41.782,267.9,214.4
49.87,40.28,79.96,89.13,58.27,267.8,214.5
47.5,41.3,59.57,65.22,26.68,267.8,214.7
47.33,41.01,81.19,87.37,45.3,270.7,215.8
45.57,41.54,81.52,85.82,42.961,270.2,215.5
50.61,42.4,66.17,73.58,30.56,266.8,215.5
56.26,51.86,85.7,90.16,37.857,271,216.2
55.64,44.98,70.26,80.29,54.81,266.4,215.5
45.98,39.01,71.78,78.69,52.9471,270.4,216.3
52.7,49.94,74.72,77.87,35.3497,265.1,215.4
61.66,51.7,85.7,95.11,53.45,267.1,215.8
48.48,45.31,84.59,87.99,34.579,270,215.1
55.64,45.23,70.1,79.84,50.79,265.8,215.3
54.83,50.8,83.73,87.95,38.51,268.9,216.1
48.15,44.94,76.69,80.17,35.25,267.9,215.5
61.17,50.22,75.42,85.82,57.57,265.3,216.1
56.79,50.51,85.12,91.1,37.84,268.2,214.1
56.26,50.02,66.25,72.06,29.48,268.1,217.6
53.88,50.06,64.61,68.33,25.723,269.3,216.4
43.81,40.32,80.09,83.81,38.035,270.8,214.2
53.72,49.82,64.53,68.21,21.22,268,215.7
48.52,45.43,75.09,78.37,32.282,269.9,215
51.96,43.1,80.09,88.11,34.19,267.8,216.2
54.42,50.31,84.35,88.48,34.29,271.1,215.8
56.55,47.32,85.33,94.05,49.8,267.4,215.8
48.11,44.86,64.69,67.88,24.232,270.3,214.6
49.01,45.39,85.78,89.38,29.07,271.9,215.8
53.72,50.39,85,88.27,23.74,268.1,214.8
50.65,44.66,75.01,80.74,38.2,270.2,214.8
51.3,45.23,85.29,91.14,40.35,269.9,214.8
54.17,50.43,64.61,68.29,26.487,269.1,216.7
46.88,40.03,64.9,71.45,42.355,269.2,215.1
45.82,39.13,71.2,77.63,41.9,268.5,215.2
56.46,50.43,74.85,80.62,34.17,265.7,215.5
55.93,45.27,70.38,80.41,50.12,263.2,215.5
59.86,50.39,85.33,94.33,52.5,267.2,216.2
64,54.07,85.82,94.83,40.47,267.1,214.6
56.55,50.14,75.58,81.68,34.88,266,216.2
56.14,49.9,65.84,71.61,30.02,268,215.1
44.47,40.56,81.27,85.49,44.127,270.6,215
50.65,44.66,74.97,80.74,38.49,268.7,214.9
53.11,50.39,75.3,78.12,24.48,267.3,216.2
54.5,50.63,85.16,88.97,27.63,268.8,216
55.64,45.19,70.06,79.84,53.47,266.8,214.7
65.59,66.4,67.44,68.54,1.682E-45,3.868E-45,3.097E-45
55.97,45.11,75.26,85.53,61.94,267,213.6
53.68,50.18,62.56,65.88,20.48,269.5,215.5
60.88,58.91,59.21,59.53,1.682E-45,3.868E-45,3.097E-45
51.02,44.29,64.49,70.71,35.14,270.1,214.1
59,49.94,70.67,79.18,41.84,264.4,216.9
46.02,39.82,62.36,68.42,43.4364,268.8,214.9
43.65,39.99,66.13,69.85,30.796,267.7,215
55.93,49.82,65.35,70.91,23.96,266.8,216.2
51.3,44.12,65.72,72.47,39.215,268.7,215.5
60.11,50.63,85.41,94.46,53.33,266.7,216.3
50.85,45.07,66.17,71.57,30.61,269.7,215.7
53.76,49.82,64.53,68.21,20.06,268.7,216.1
46.39,40.07,80.17,86.31,42.69,268.9,215.1
43.24,39.95,62.19,65.55,29.156,270.8,215.7
55.15,45.97,85.33,94.09,53.65,268.2,215.9
55.6,45.19,70.02,79.72,48.85,265.1,215
54.7,51.49,64.61,68.21,41.166,269.3,214.6
56.79,50.63,85.12,90.98,36.6,268.5,214.7
59.41,49.86,71.53,80.41,44.3,266.8,216.4
62.44,53.09,75.34,83.98,38.31,266.5,218.2
56.91,50.63,85.33,91.35,35.95,268,217.7
43.57,40.03,80.78,84.55,38.06,271.6,215.7
53.6,50.14,62.56,65.88,22.18,268.3,213.6
60.96,58.95,59.61,59.98,1.682E-45,3.868E-45,3.097E-45
48.36,45.07,65.06,68.33,26.193,270.9,215.2
43.65,39.95,70.79,74.68,38.335,270.7,213.7
43.65,40.03,65.02,68.74,32.985,269,214.6
50.89,45.15,66.13,71.49,29.77,270.4,216.9
49.01,45.48,85.7,89.38,35.14,270.6,214.1
60.48,50.31,85.62,95.28,54.94,265.6,215.4
53.76,49.9,64.53,68.25,24.01,268.6,216.5
53.6,50.27,62.44,65.59,19.16,268.9,215.1
51.34,44.45,65.02,71.32,30.43,269,215.9
60.56,50.35,85.66,95.36,56.28,265.4,214.6
56.87,45.97,76.16,86.51,61.99,267.4,215.1
47.58,40.44,66.25,73.13,44.704,267.9,215.3
48.48,44.86,85.45,89.13,31.17,270.4,216.4
55.52,44.86,70.22,80.25,54.01,265.8,215.5
46.43,39.78,71.12,77.38,38.07,270.9,216.1
56.63,47.65,85,93.35,42.33,266.7,215.8
56.91,50.63,85.33,91.35,37.24,268.3,216.6
51.75,42.81,80.5,88.77,44.93,270.3,215.7
43.12,39.78,71.16,74.6,31.388,271,215.3
50.24,46.09,86.39,90.65,37.52,271.2,216.5
43.52,40.52,68.42,71.53,28.581,269.5,214
50.36,40.93,75.42,83.73,30.48,268.5,214.5
48.07,45.15,75.58,78.65,27.752,268.3,217
43.32,39.87,71.57,75.21,35.07,270.1,215.5
43.77,39.99,66.33,70.26,35.735,270,216
45.57,39.21,69.32,75.46,43.111,270.7,215
48.27,45.31,75.46,78.53,26.84,267.6,215.3
54.7,50.63,65.51,69.4,26.04,270,214.3
57.57,48.63,85.7,94.13,50.53,269.8,215.9
49.54,45.19,65.39,69.44,23.56,270,214.3
55.6,45.23,70.02,79.72,50.52,265.2,214.8
50.32,44.25,75.22,81.11,40.54,268,214.5
49.01,45.68,84.1,87.58,33.22,270.5,214.4
55.48,44.82,70.26,80.25,52.97,265.8,215.1
50.73,44.25,75.71,82.17,51.134,269.3,214.8
55.52,44.86,70.26,80.25,54.36,267.2,215.6
51.26,44.37,64.94,71.28,34.02,269.6,214.4
46.88,39.91,65.18,71.81,38.648,267.6,216.6
49.46,44.57,66.78,71.41,30,271.7,215.2
51.34,44.45,64.98,71.32,33.46,270,215.4
49.91,41.99,65.22,72.39,34.02,270.2,215.2
52,40.73,70.71,81.35,57.19,265.4,215.9
50.53,41.22,80.87,89.67,50.75,267.3,215.5
60.31,50.31,85.37,94.78,49.28,264.5,215.3
51.71,43.06,76.69,84.3,27.31,270.4,216.3
53.68,50.39,85.21,88.48,24.85,268.8,215.9
63.55,52.85,75.99,86.06,54.93,265.1,214.5
44.83,41.05,67.27,71.28,38.3373,267.4,214.4
46.35,40.19,80.09,86.19,46.884,269.6,215.1
55.89,45.84,70.3,79.55,47.22,269.4,216
44.51,40.36,78.29,82.67,44.229,271.5,213.8
60.6,50.39,85.66,95.36,54.05,266.6,217.2
49.91,41.09,72.47,80.21,26.18,267.3,214.2
49.09,45.56,85.33,89.01,33.79,269.3,215.3
61.91,50.63,75.95,86.68,52.83,263.1,218.3
47.25,40.4,65.76,72.31,41.861,268.6,215
47.82,44.9,75.01,78.08,29.959,271.4,215.1
52.7,50.02,75.17,77.96,25.04,267.5,214.3
50.2,40.28,66.58,75.91,50.72,266.1,215.4
56.3,45.27,75.95,86.47,60.54,265.7,216
65.31,64.92,64.81,65.51,15.3,269.5,215.8
56.83,50.47,75.75,81.76,34.34,268.1,216.7
49.13,46.25,75.91,79.06,33.887,270.4,215.4
56.55,46.5,75.5,85.16,60.35,268.3,217
51.92,41.22,70.96,80.78,56.88,272.9,214.3
56.34,45.39,75.34,85.7,62.98,267.7,214
44.02,40.4,80.21,84.06,37.068,269.1,216.2
51.3,45.27,85.33,91.22,41.58,269.5,216.3
53.68,46.7,82.5,89.09,40.59,270.6,215.9
49.87,40.23,79.96,89.13,55.05,267.5,215.6
52.94,50.22,75.13,77.92,23.1,266.3,214.7
50.94,40.6,67.68,77.26,48.85,269.3,217.3
47.33,40.23,66.25,73,43.855,270,214.7
51.51,40.36,70.67,81.35,62.11,266,216.8
53.84,50.47,85.25,88.52,22.29,269.5,216.5
49.67,40.32,79.27,88.03,51.37,267.5,213.1
48.64,45.35,64.86,68.09,23.67,269.4,215.5
60.6,50.39,85.62,95.32,53.6,265.9,216.8
43.16,40.4,60.64,63.63,30.9292,270,215.9
51.06,45.31,82.05,87.66,39.37,269.2,215.9
50.85,44.12,64.9,71.45,44.8171,268,215.3
47.25,40.32,65.31,72.02,47.037,268.7,213.8
48.36,44.74,66.29,69.81,24.95,271.5,217
55.6,45.15,70.06,79.8,52.62,267.7,215.1
49.01,41.01,74.52,82.05,48.85,272.9,215.3
45.69,39.33,69.32,75.46,41.557,269.5,215.5
50.44,45.15,65.06,69.97,26.33,268.6,215.1
56.34,49.94,75.54,81.6,32.3,264.9,216.3
51.26,45.02,85.78,91.84,40.88,268.8,216.3
50.32,43.88,66.29,72.43,45.2428,275.4,214.5
56.79,47.19,70.67,79.68,49.5,267.5,215.9
56.14,49.9,65.84,71.57,26.36,268.8,218
48.03,45.35,74.64,77.47,27.138,270.1,215.8
52.7,49.73,76.2,79.27,26.818,268.1,215.9
55.77,46.74,86.39,94.66,38.99,266.9,215.1
46.84,39.78,83.12,90.16,52.2,267,215.9
64.12,53.95,85.37,94.09,17.04,265.4,216.1
56.71,47.81,85.41,93.84,47.33,267,216.7
56.83,51,73.9,79.39,29.99,266.5,215.7
66.29,61.36,71.82,75.83,4.08,273,216.5
45.86,40.11,61.13,66.49,29.76,268.1,214.8
53.11,50.39,75.42,78.2,22.78,267.2,216.3
46.27,40.07,79.96,86.06,45.42,269.1,214.8
56.26,45.15,75.91,86.47,61.74,265.2,214.1
53.97,50.76,85.12,88.4,28.16,269.3,214.9
61.34,50.31,75.83,86.27,57.93,265.3,215.2
55.97,45.11,75.26,85.53,58.42,266.3,215.1
43.4,40.03,70.02,73.58,35.947,271.1,213.5
55.11,45.97,85.25,94.01,55.05,268.5,216.1
51.22,45.19,85.33,91.22,41.65,268.3,215
52,45.88,85.37,91.35,41.71,268.4,215.7
51.92,43.18,78.04,85.74,28.28,269.5,215.3
54.13,46.38,70.96,78.49,49.662,267.4,216
46.35,40.07,80.17,86.35,45.43,268.7,215.1
48.97,45.39,85.21,88.89,34.41,270.6,212.9
55.07,45.68,71,79.76,44.93,267.4,216.8
61.25,50.06,75.83,86.51,59.55,264.9,216.6
60.8,50.02,75.83,86.27,57.8,260.5,215.6
49.01,40.93,64.49,72.14,47.2,269,214.9
56.26,45.23,75.91,86.47,65.52,267.4,215.5
59.41,49.86,71.53,80.37,45.09,268.4,216.2
48.81,45.35,85.16,88.6,26.39,268.8,215.3
59.49,50.63,70.3,78.61,42.59,265.6,216.4
51.67,44.45,87.62,94.78,51.75,266.3,215.3
45.65,39.05,69.65,75.95,40,268,214.4
51.55,45.35,85.7,91.84,47.26,268.7,214.2
53.43,50.68,74.81,77.71,26.078,266.7,216.3
48.32,45.48,75.62,78.69,31.464,269.4,215.5
56.83,50.55,85.16,91.14,37.82,268.3,214.3
57.24,50.88,85.29,91.26,35.24,269.1,215
55.97,49.86,65.27,70.87,27.22,268,215.4
46.35,40.44,80.09,85.9,40.42,267.7,216.6
57.08,50.8,85.53,91.51,35.45,268.4,216.9
43.57,39.99,80.78,84.59,38.478,271.5,215.4
55.93,45.07,75.22,85.53,60.33,267.1,215.7
43.77,39.91,66.45,70.46,36.0648,267,213.5
56.79,50.63,85.12,90.98,35.27,267.8,215.5
45.53,39.13,69.24,75.38,42.075,270.3,214.4
45.9,39.21,71.2,77.63,38.89,267.6,217.4
43.57,39.87,81.44,85.57,47.093,270.8,215.7
56.95,50.68,85.33,91.3,37.97,269.9,215.5
53.64,50.35,84.92,88.23,26.56,269.2,216.1
43.12,40.19,61.54,64.61,29.529,270.3,214.9
49.42,45.11,65.51,69.6,25.89,270.2,215.4
49.99,40.36,80.09,89.26,58.21,268.3,214.1
61.58,51.58,85.66,95.11,52.41,267.6,217.2
49.79,44.7,65.18,70.01,29.719,270.3,216.6
56.75,50.27,85.66,91.8,35.92,268.3,216.3
55.6,44.9,70.26,80.25,50.94,265.5,215.3
49.58,45.6,83.98,88.19,40.015,269.4,216.3
43.97,40.28,73.17,76.97,33.496,269.3,215.2
56.05,45.68,75.67,85.53,53.83,266,217.5
43.32,39.99,71.16,74.64,32.873,270.7,215.3
65.59,57.02,81.77,88.73,3.43,268.2,215
51.3,44.37,64.98,71.28,30.47,269.8,215.3
50.77,44.08,76.53,83.2,52.229,269.8,215.8
47.09,39.87,66.25,73.13,42.978,269.3,215.9
43.52,40.52,68.25,71.36,29.131,271.7,215.1
58.55,51.13,87.09,94.17,44.59,269,215.5
48.93,45.6,65.8,68.99,20.45,269,215.8
48.89,39.7,63.71,72.27,45.71,268.1,215.7
56.01,49.94,65.31,71,31.81,267.8,215.1
46.02,39.99,80.13,86.1,44.05,268.1,215.7
60.6,50.31,75.91,85.57,51.3,266.1,215.8
51.3,44.45,64.98,71.32,33.52,269.5,216.1
55.64,45.23,70.06,79.76,49.95,266.8,215.8
60.6,50.43,85.62,95.32,54.55,264.4,215.6
54.46,50.92,78,81.56,26.43,266.2,217
56.18,45.88,70.55,80.17,51.28,267.4,215.9
56.95,50.72,75.42,81.35,35.58,267.2,215.3
61.09,50.1,75.42,85.74,55.13,265.2,214.7
47.46,40.48,65.84,72.43,38.71,267.3,214.7
50.57,44.62,74.85,80.54,36.12,269,215.7
56.01,49.94,65.35,70.87,24.44,267.9,216.2
56.3,45.68,71.16,81.11,53.99,268.8,217.1
53.11,50.43,75.42,78.2,24.49,267.1,215.2
52.29,46.01,86.15,92.21,39.79,268.4,215.6
49.71,41.63,64.73,72.02,30.44,267.7,215.7
45.65,39.25,69.44,75.58,42.093,269.9,213.9
60.48,50.43,85.45,94.99,51.1,263.2,215.2
53.06,50.39,75.42,78.2,24.38,267,215.4
59.04,49.86,70.55,79.1,41.9,264.8,215.4
54.01,52.07,64.45,66.41,16.87,272.3,216.3
56.38,45.72,71.24,81.31,57.59,268.1,216.4
53.92,50.06,64.24,67.84,21.79,272,215
62.07,51.58,75.67,85.53,53.78,266.9,215.8
51.22,44.04,65.72,72.43,37.98,268.1,214.6
53.56,50.35,84.88,88.19,29.54,269.7,215.7
55.56,45.19,70.02,79.72,51.94,266.1,214.7
43.12,39.87,69.28,72.76,35.333,270.2,215
46.43,39.82,71.16,77.42,41.28,270.2,213.4
50.12,40.19,66.45,75.83,52.17,265.7,215.1
51.3,44.12,65.72,72.39,33.93,269.1,217.8
56.95,50.8,84.35,90.36,42.45,269.6,216.5
43.52,40.52,68.38,71.57,31.285,270,215.8
43.89,40.03,67.68,71.77,40.467,270.6,215.1
45.69,39.33,69.4,75.5,40.117,269.1,214.9
55.23,46.01,85,93.76,49.08,266.1,216.4
57.12,50.8,85.53,91.55,39.19,270,214.8
50.89,44.33,75.75,82.17,44.974,267,214.6
56.14,49.94,65.84,71.61,29.25,267.5,216.9
43.61,40.07,80.78,84.55,37.912,271.4,215.8
47.99,45.11,75.05,78.12,30.835,269.5,214.1
49.58,45.43,83.28,87.66,41.509,269.5,216.1
49.17,45.64,85.74,89.38,32.25,269.8,215.7
43.57,39.99,65.63,69.32,32.566,268,213.8
55.93,45.31,70.42,80.41,56.56,266.9,214.7
54.5,50.39,65.59,69.6,29.23,270.4,215.3
54.13,50.84,85.29,88.56,23.98,267.4,216.3
56.26,47.81,70.26,77.26,15.17,275.4,215.9
52.57,41.5,71.08,81.4,60.19,269.8,214.3
49.38,45.97,85.49,89.01,31.78,270.6,215.5
50.03,44.04,75.75,81.64,42.724,269.6,216.5
56.34,50.06,66.21,72.06,32.09,269.5,216.3
54.13,49.49,65.92,70.22,23.94,271,215.8
43.73,40.23,79.96,83.73,38.947,269.6,214.3
52.7,49.94,75.09,77.92,22.91,264.7,214.3
56.75,50.47,85.08,91.06,35.47,266.6,215.2
56.14,49.9,65.84,71.57,25.17,265.5,216.4
49.91,40.19,66.41,75.66,53.69,266.2,215.7
50.81,42.28,71.78,79.23,20.21,267,217
47.99,45.07,75.58,78.65,28.333,268.5,215.9
56.79,50.59,85.08,90.94,32.05,266.5,216.4
51.14,43.96,65.72,72.47,38.13,268.4,216.2
43.32,39.99,71.2,74.64,32.306,271.5,214
43.57,39.91,65.59,69.32,30.339,267,215.2
45.86,39.21,71.16,77.63,42.572,267.7,216.7
56.87,50.63,84.59,90.65,42.09,268.6,214.8
46.64,39.87,63.83,70.38,42.846,266.4,214.5
55.19,45.93,85.04,93.88,52.4,266.9,216.1
56.67,49.9,76.93,83.48,41.23,266.6,216.3
51.3,44.08,65.72,72.43,37.2,269.2,215.1
43.61,40.07,80.78,84.59,39.134,271.2,216.4
49.13,41.99,62.97,69.52,31.2,268.5,216.5
45.82,39.09,71.12,77.59,43.649,269.6,214.9
56.3,46.09,75.54,85.33,60.74,267.5,215.8
61.34,50.43,75.54,85.82,52.74,263,214.8
52.57,41.46,71.08,81.48,60.11,270.1,215.9
56.95,50.63,75.87,81.89,35.67,267,215.6
56.26,49.86,66.25,72.06,26.38,268.4,215.6
51.26,45.19,85.33,91.3,45.03,269.6,214.6
53.84,49.9,64.57,68.25,20,268.8,216.4
57.61,50.68,81.19,87.78,45.22,275.4,217.2
53.72,49.86,64.49,68.21,27.413,275.4,217
56.42,50.06,75.58,81.64,34.73,265.6,215.7
53.76,50.43,85.12,88.48,27.69,269.7,215
61.05,50.18,75.5,85.74,52.73,265.9,217.4
47.37,40.48,65.51,72.22,46.301,267.6,214.8
48.4,45.52,75.01,78,27.929,270.4,214.2
53.64,50.8,84.76,87.87,33.248,270.4,216.1
49.95,40.81,78.9,87.62,54.85,268.2,214.8
43.2,40.36,60.64,63.63,28.91,270.4,214.9
57.08,49.69,68.17,75.25,44.866,268.1,215.6
54.95,45.6,84.88,93.8,54.59,267.7,215.6
52.82,50.1,75.09,77.92,25.08,267.3,214.8
56.34,45.88,75.75,85.7,58.14,266.8,215.9
47.58,41.46,80.99,87.01,45.2,269.7,214.9
54.5,51.29,85.33,88.97,41.424,268.6,216.8
43.52,40.48,68.42,71.57,28.649,270.3,215.5
50.28,41.01,80.74,89.58,54.8,268.9,216.2
43.44,40.15,71.12,74.6,35.5,272.1,214
48.48,45.52,75.75,78.78,26.78,270.3,214.6
50.4,44,66.21,72.1,34.72,275.4,216.5
45.78,41.34,63.26,67.68,33.555,268,215.4
60.68,50.39,85.74,95.48,54.48,266,215.7
55.64,44.94,70.3,80.29,49.69,266.8,217.3
56.18,56.12,56.5,56.87,1.682E-45,3.868E-45,3.097E-45
46.39,40.11,80.17,86.35,43.48,267,215.6
59.78,50.22,71.73,80.7,50.07,267.4,215.1
43.4,40.07,71.12,74.64,35.002,269.5,213
43.4,40.03,71.24,74.72,32.096,269.7,213.3
50.73,44.53,67.23,72.92,32.979,273,214.3
57.12,50.47,76.36,82.71,37.93,266.2,215.1
60.56,50.27,75.87,85.53,53.35,267.8,216
51.63,42.69,80.58,88.85,42.88,268.3,215.4
49.91,40.36,79.96,89.09,58.32,268.5,214.9
44.26,40.89,79.56,83.16,36.265,269.4,214.3
59.12,49.94,70.55,79.14,41.09,265.1,217.6
48.36,45.52,75.05,78.04,28.723,270,214.9
51.3,45.27,85.29,91.14,39.56,267.1,214.4
43.57,40.07,71.69,75.38,34.063,267.3,215.1
60.64,50.47,85.62,95.32,53.73,264.7,216.5
51.3,44.37,64.94,71.28,29.77,268.4,216.3
46.27,39.95,80.17,86.31,42.87,268.7,214.7
43.69,40.15,80.21,83.98,38.007,271.1,215.3
55.32,46.29,85.33,94.05,53.9,265.2,215.5
43.57,40.36,71,74.44,36.047,271.3,214
55.48,46.38,85.45,94.17,54.67,267.4,215.1
43.4,39.99,71.2,74.8,34.497,268.7,214.5
51.02,44.41,66.08,72.02,30.49,275.4,215.9
51.3,44.08,65.76,72.47,38.56,270.4,214.9
55.56,44.98,71,80.99,53.54,266,216.7
57.36,50.76,82.71,88.93,38.62,270.8,215.1
59.12,50.02,70.63,79.1,40.99,266.6,217.4
43.36,39.99,71.28,74.84,34.357,269.6,215.1
51.96,45.76,85.41,91.47,41.95,267.6,215.4
48.48,45.15,65.02,68.25,22.47,269.8,215.8
46.6,40.77,68.66,74.27,37.36,269.7,215.7
46.39,40.23,80.09,86.15,45.33,268.6,214.1
56.42,46.13,71.08,80.82,54.62,266.1,215.7
50.81,45.64,86.84,92.08,43.99,269.1,214.5
43.28,39.91,71.2,74.68,32.082,271.6,215.2
49.67,40.48,78.57,87.13,45.38,267.2,215.2
46.88,40.07,64.94,71.41,40.121,268.1,214.4
42.87,39.82,61.13,64.24,27.468,270.5,214.7
52,45.84,85.41,91.39,39.26,267,215.7
53.15,50.39,75.42,78.2,22.41,267.2,214.1
52.66,51.62,59.04,60.31,17.73,270.7,213.8
50.89,44.16,64.45,70.71,36.766,270.1,214
47.54,39.54,67.23,74.76,44.641,267,213.3
61.7,51.78,85.7,95.15,54.28,265.3,215.5
49.17,45.76,84.63,88.15,32.78,270.9,213.8
60.56,50.35,85.66,95.4,58.16,265.7,214.6
55.36,46.29,85.29,94.05,57.42,267.5,215.3
53.52,50.22,85.12,88.4,24.92,267.9,214.9
53.52,50.22,85.12,88.44,26.35,268.5,215.9
55.44,49,65.02,70.63,20.54,274.7,217.4
53.97,50.72,85.25,88.48,25.51,269.7,214.7
53.31,49.86,62.44,65.75,22.15,270,215.3
61.01,51.82,82.01,89.75,13.98,268,215.3
45.82,39.91,61.7,67.35,37.509,270.5,215.1
50.98,44.29,64.45,70.67,32.55,267.3,215.4
51.67,43.59,78.78,86.76,57.914,266.2,214.1
61.75,51,75.5,85.7,56.04,265.3,216.2
60.52,50.47,85.53,95.07,56.26,266.7,215
51.43,40.44,69.93,80.37,58.12,266.5,217.1
51.22,40.4,69.61,79.72,55.96,267.1,214.2
50.94,41.54,81.15,90.12,57.41,270.1,216.1
50.44,41.13,80.87,89.67,53.73,269,214.9
50.53,43.96,76.73,83.32,51.573,268.4,215.8
47.29,40.19,66.25,73,43.353,269.8,215
51.34,40.64,69.48,79.55,58.4,266.1,213.2
47.37,39.95,66.58,73.7,45.802,268.6,215.5
54.5,50.96,72.06,75.91,38.457,266.5,215.7
57.2,49.94,86.93,94.13,55.116,267.5,213.6
